"","DepMap_ID","stripped_cell_line_name","CCLE_Name","Alias","COSMICID","sex","source","Achilles_n_replicates","cell_line_NNMD","culture_type","culture_medium","cas9_activity","RRID","sample_collection_site","primary_or_metastasis","primary_disease","Subtype","age","Sanger_Model_ID","WTSI_Master_Cell_ID","depmap_public_comments","lineage","lineage_subtype","lineage_sub_subtype","lineage_molecular_subtype","copy_number","abs_CN","mRNA_expression","protein_expression","CERES","p_dep"
"11","ACH-000012","HCC827","HCC827_LUNG","",1240146,"Female","ATCC",3,-4.2429978058806,"Adherent","RPMI + 10% FBS","87.3","CVCL_2063","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,"SIDM01067",354,"","lung","NSCLC","NSCLC_adenocarcinoma","",0.751983844878359,2,0.333423733725192,-1.0245048353065,0.0146773729090728,0.00591721721122453
"12","ACH-000013","ONCODG1","ONCODG1_OVARY","",NA,"Female","DSMZ",2,-5.31986219931575,"","RPMI + 10% FBS","92","CVCL_1882","ascites","Metastasis","Ovarian Cancer","Adenocarcinoma, high grade serous",60,"SIDM00093",NA,"","ovary","ovary_adenocarcinoma","high_grade_serous","",0.941239158750576,3,2.47767732756531,NA,0.0473233747378161,0.00527849272496719
"13","ACH-000014","HS294T","HS294T_SKIN","A101D, Hs 294.T",NA,"Male","ATCC",2,-3.48498648791383,"Adherent","DMEM + 10% FBS","84.9","CVCL_0331","lymph_node","Metastasis","Skin Cancer","Melanoma",56,"SIDM00800",NA,"","skin","melanoma","","",0.979103562175763,3,2.36457243229586,0.0347342798333664,0.0179750612810935,0.00622315756521322
"14","ACH-000015","NCIH1581","NCIH1581_LUNG","NCI-H2077",908471,"Male","ATCC",2,-4.22615693843515,"Mixed adherent and suspension","DMEM:F12 (1:1) + 5% FBS","47.2","CVCL_1479","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",44,"SIDM00748",1237,"","lung","NSCLC","NSCLC_large_cell","",1.04201450566952,3,3.49697358099828,1.40824423103073,0.0265413255938574,0.00507557867968463
"15","ACH-000016","SLR21","SLR21_KIDNEY","",NA,"Unknown","Academic lab",NA,NA,"","","","CVCL_V607","kidney","Metastasis","Kidney Cancer","Renal Cell Carcinoma",NA,"",NA,"","kidney","renal_cell_carcinoma","","",0.948406852276558,2,2.13093086982645,NA,NA,NA
"16","ACH-000017","SKBR3","SKBR3_BREAST","",NA,"Female","ATCC",2,-2.93225006169742,"Adherent","McCoy's 5A + 10% FBS","72.9","CVCL_0033","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",43,"SIDM00897",NA,"","breast","breast_carcinoma","ERneg_HER2pos","HER2_amp",0.791938839949055,3,2.13093086982645,NA,-0.0296661310295127,0.0164920813569936
"17","ACH-000018","T24","T24_URINARY_TRACT","",724812,"Female","ATCC",2,-2.94569122205808,"Adherent","McCoy's 5A + 10% FBS","65.2","CVCL_0554","urinary_tract","Primary","Bladder Cancer","Carcinoma",81,"SIDM01184",1455,"","urinary_tract","bladder_carcinoma","","",0.851628868849173,3,4.37712374912949,0.418882467022543,0.174816163970184,0.000498262023850867
"18","ACH-000019","MCF7","MCF7_BREAST","",905946,"Female","ATCC",2,-2.49367545213139,"Adherent","EMEM + 10% FBS + 0.01mg/ml Insulin (Bovine)","65","CVCL_0031","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",69,"SIDM00148",588,"","breast","breast_carcinoma","ERpos_HER2neg","luminal",0.633354223590538,1,4.34482849699744,2.51834527169317,-0.199605470158742,0.064619314347953
"19","ACH-000020","MHHCALL2","MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",908132,"Female","DSMZ",NA,NA,"","","","CVCL_1409","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",15,"SIDM00331",1906,"","blood","ALL","b_cell","",0.971797170145874,1,1.53605290024021,NA,NA,NA
"20","ACH-000021","NCIH1693","NCIH1693_LUNG","",687802,"Female","ATCC",4,-3.65051345418105,"Adherent","RPMI + 10% FBS","85.9","CVCL_1488","lymph_node","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",55,"SIDM00742",634,"","lung","NSCLC","NSCLC_adenocarcinoma","",1.23077717930062,4,2.91073266190291,-0.04543903614369,0.0733198131952484,0.00209817643073358
"21","ACH-000022","PATU8988S","PATU8988S_PANCREAS","",NA,"Female","DSMZ",2,-4.87259707423847,"Adherent","DMEM + 10% FBS + 2mM Glutamax","93.7","CVCL_1846","liver","Metastasis","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",64,"SIDM00452",NA,"","pancreas","exocrine","exocrine_adenocarcinoma","",1.26363542937758,4,5.13422093976063,NA,0.0431609878957206,0.00509230899937122
"22","ACH-000023","PATU8988T","PATU8988T_PANCREAS","",1240201,"Female","DSMZ",NA,NA,"","","","CVCL_1847","liver","Metastasis","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",64,"SIDM00453",1242,"","pancreas","exocrine","exocrine_adenocarcinoma","",1.22586955813089,4,2.45680614923047,-0.996851100864907,NA,NA
"23","ACH-000024","OPM2","OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",909249,"Female","DSMZ",2,-3.99218071753911,"Suspension","RPMI + 10% FBS","71.9","CVCL_1625","haematopoietic_and_lymphoid_tissue","Primary","Myeloma","Multiple Myeloma",56,"SIDM00457",112,"","plasma_cell","multiple_myeloma","","",1.15405489625647,4,1.36176835941915,0.693127015220716,0.355658275096468,0.0004216072182738
"24","ACH-000025","CH157MN","CH157MN_CENTRAL_NERVOUS_SYSTEM","",NA,"Female","Academic lab",2,-4.18694684116818,"not found","not found","92.8","CVCL_5723","central_nervous_system","","Brain Cancer","Meningioma",NA,"",NA,"","central_nervous_system","meningioma","","",0.676036401063842,1,2.40053792958373,NA,-0.162974020769016,0.0455921564194446
"25","ACH-000026","253JBV","253JBV_URINARY_TRACT","",NA,"Male","KCLB",0,-1.68547053699626,"Adherent","DMEM + 10% FBS","89","CVCL_7937","lymph_node","Metastasis","Bladder Cancer","Carcinoma",53,"",NA,"","urinary_tract","bladder_carcinoma","","",0.865554405333989,NA,1.51601514700366,NA,NA,NA
"26","ACH-000027","GOS3","GOS3_CENTRAL_NERVOUS_SYSTEM","",NA,"Male","DSMZ",NA,NA,"","","","CVCL_2050","central_nervous_system","Primary","Brain Cancer","Glioblastoma",55,"",NA,"","central_nervous_system","glioma","glioblastoma","",1.04603480549961,2,4.32192809488736,NA,NA,NA
"27","ACH-000028","KPL1","KPL1_BREAST","",NA,"Female","DSMZ",3,-3.41465475547097,"Adherent","DMEM + 10% FBS","69.6","CVCL_2094","pleural_effusion","Metastasis","Breast Cancer","Carcinoma",50,"SIDM00147",NA,"","breast","breast_carcinoma","ERpos_HER2neg","luminal",0.710134390575483,2,5.24107745817504,1.00459160542428,-0.25886595118868,0.133999269911526
"28","ACH-000029","HCC827GR5","HCC827GR5_LUNG","HCC827 GR5",NA,"Female","Academic lab",2,-4.51994918834749,"not found","not found","49.1","CVCL_V622","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",39,"",NA,"","lung","NSCLC","NSCLC_adenocarcinoma","",0.867360888548787,NA,0.214124805352847,NA,0.00799531534342048,0.00660252362100235
"29","ACH-000030","PC14","PC14_LUNG","",753608,"Male","RIKEN",3,-5.25733974404939,"Adherent","RPMI + 10% FBS","91.6","CVCL_1640","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00237",198,"","lung","NSCLC","NSCLC_adenocarcinoma","",0.713348247023994,2,1.98185265328974,-0.733347995724532,-0.096590139910858,0.0245483717016965
"30","ACH-000031","PANC0213","PANC0213_PANCREAS","",NA,"Female","ATCC",NA,NA,"","","","CVCL_1634","pancreas","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",64,"",NA,"","pancreas","exocrine","exocrine_adenocarcinoma","",1.05130345924617,2,4.06091204958787,NA,NA,NA
"31","ACH-000032","MHHCALL3","MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"Female","DSMZ",NA,NA,"","","","CVCL_0089","bone_marrow","","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",11,"",NA,"","blood","ALL","b_cell","",0.988621230075815,2,1.74846123300404,NA,NA,NA
"32","ACH-000034","PLB985","PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","PLB985, PLB-985",NA,"Female","Academic lab",NA,NA,"","","","CVCL_2162","haematopoietic_and_lymphoid_tissue","","Leukemia","Acute Myelogenous Leukemia (AML)",NA,"SIDM00811",NA,"","blood","AML","","",1.00450701810382,NA,0,NA,NA,NA
"33","ACH-000035","NCIH1650","NCIH1650_LUNG","",687800,"Male","ATCC",2,-3.02329575034401,"Adherent","RPMI + 10% FBS","91.5","CVCL_1483","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",27,"SIDM00745",1548,"","lung","NSCLC","NSCLC_adenocarcinoma","",0.6004113705967,1,1.62293035092018,0.181519747880413,0.0751695382706488,0.00212698451234798
"34","ACH-000036","U343","U343_CENTRAL_NERVOUS_SYSTEM","",NA,"Unknown","Academic lab",2,-3.53606402358353,"not found","not found","82.2","CVCL_4773","central_nervous_system","","Brain Cancer","Glioblastoma",64,"",NA,"","central_nervous_system","glioma","glioblastoma","",1.06080990920939,3,2.87184364850932,NA,-0.267741122431666,0.135360253554452
"35","ACH-000037","S117","S117_THYROID","",NA,"Female","DSMZ",2,-4.075906648225,"","RPMI + 10% FBS","76.4","CVCL_1674","soft_tissue","","Sarcoma","Thyroid Sarcoma",47,"SIDM00035",NA,"","soft_tissue","thyroid_sarcoma","","",0.913803528196259,6,4.06608919045777,NA,-0.0230287823979992,0.0122846498034328
"36","ACH-000038","EHEB","EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",906854,"Female","DSMZ",NA,NA,"","","","CVCL_1194","haematopoietic_and_lymphoid_tissue","","Lymphoma","B-cell",69,"SIDM01049",39,"","lymphocyte","lymphoma_unspecified","b_cell","",1.00352128686466,2,0.321928094887362,NA,NA,NA
"37","ACH-000039","SKNMC","SKNMC_BONE","",NA,"Female","ATCC",3,-2.62797226914965,"Adherent","EMEM + 10% FBS","65.3","CVCL_0530","bone","Metastasis","Bone Cancer","Ewings Sarcoma",14,"SIDM00634",NA,"","bone","Ewing_sarcoma","","EWS_FLI",1.54939669375462,4,7.31179371775365,4.06788490670682,0.214599087011712,0.000408310451301809
"38","ACH-000040","U118MG","U118MG_CENTRAL_NERVOUS_SYSTEM","",687588,"Male","ATCC",2,-3.78550201590484,"Adherent","DMEM + 10% FBS","69.1","CVCL_0633","central_nervous_system","Primary","Brain Cancer","Astrocytoma",NA,"SIDM01193",7,"","central_nervous_system","glioma","astrocytoma","",1.06912665152508,5,2.46727948045998,-0.872962778399644,-0.0116921958318494,0.00935651020858321
"39","ACH-000041","RDES","RDES_BONE","",NA,"Male","ATCC",2,-2.73163733646074,"Adherent","RPMI + 15% FBS","88.3","CVCL_2169","bone","Primary","Bone Cancer","Ewings Sarcoma",19,"",NA,"","bone","Ewing_sarcoma","","EWS_FLI",1.21612353101662,4,6.38284014447524,NA,-0.00534772898365234,0.00933021127283549
"40","ACH-000042","PANC0203","PANC0203_PANCREAS","",1298475,"Female","ATCC",4,-3.3422965160792,"Adherent","RPMI + 10% FBS + 1mM Sodium pyruvate","88.9","CVCL_1633","pancreas","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",70,"SIDM01139",1838,"","pancreas","exocrine","exocrine_adenocarcinoma","",0.655365752429376,2,2.20476675065461,NA,-0.0451215235301557,0.0139878709177923
"41","ACH-000043","HS895T","HS895T_FIBROBLAST","",NA,"Female","ATCC",NA,NA,"","","","CVCL_0993","fibroblast","Metastasis","Fibroblast","Skin",48,"",NA,"","fibroblast","fibroblast_skin","","",0.994785956223202,2,3.55826763405574,NA,NA,NA
"42","ACH-000044","MDAMB134VI","MDAMB134VI_BREAST","",NA,"Female","ATCC",NA,NA,"","","","CVCL_0617","pleural_effusion","Metastasis","Breast Cancer","Breast Ductal Carcinoma",47,"SIDM00005",NA,"","breast","breast_ductal_carcinoma","ERpos_HER2neg","luminal",2.99505315656703,7,8.00904478738249,NA,NA,NA
"43","ACH-000045","MV411","MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","MV-4-11",908156,"Male","ATCC",2,-2.88062268501252,"Suspension","IMDM + 10% FBS","89","CVCL_0064","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML)",10,"SIDM00657",133,"","blood","AML","","",1.24780963247211,3,0.604071323668861,NA,0.117987582948922,0.00179440832301319
"44","ACH-000046","ACHN","ACHN_KIDNEY","",905950,"Male","ATCC",NA,NA,"","","","CVCL_1067","pleural_effusion","Metastasis","Kidney Cancer","Renal Cell Carcinoma",22,"SIDM00123",371,"","kidney","renal_cell_carcinoma","","",0.83514041899921,1,3.07210580048042,NA,NA,NA
"45","ACH-000047","GCIY","GCIY_STOMACH","",906869,"Female","RIKEN",2,-5.02342582263254,"","MEM + 15% FBS","89.6","CVCL_1228","ascites","Metastasis","Gastric Cancer","Adenocarcinoma",NA,"SIDM00274",1414,"","gastric","gastric_adenocarcinoma","","",1.10179210710944,3,3.64038956005495,NA,-0.100399911278794,0.030427792990094
"46","ACH-000048","TOV112D","TOV112D_OVARY","",1299070,"Female","ATCC",2,-3.09079412709297,"Adherent","MCDB 105:Medium 199 (1:1) + 15% FBS + 1.5g/l Sodium bicarbonate","47.6","CVCL_3612","ovary","Primary","Ovarian Cancer","Adenocarcinoma, endometrioid",42,"SIDM01170",5,"","ovary","ovary_adenocarcinoma","endometrioid","",1.10588433895826,1,3.34340782229781,NA,0.131586759985066,0.000960876342850941
"47","ACH-000049","HEKTE","HEKTE_KIDNEY","",NA,"Unknown","Academic lab",NA,NA,"","","","CVCL_WS59","kidney","","Engineered","",NA,"",NA,"","engineered_kidney","","","",0.857111788798407,NA,2.94110631094643,NA,NA,NA
"48","ACH-000050","NCIH929","NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",724825,"Female","ATCC",NA,NA,"","","","CVCL_1600","pleural_effusion","Metastasis","Myeloma","Multiple Myeloma, plasmacytoma",62,"SIDM01148",1230,"","plasma_cell","multiple_myeloma","plasmacytoma","",1.09009508903595,3,0.748461233004036,NA,NA,NA
"49","ACH-000051","TE617T","TE617T_SOFT_TISSUE","",NA,"Female","ATCC",NA,NA,"","","","CVCL_1755","soft_tissue","Primary","Sarcoma","Rhabdomyosarcoma",1.67,"",NA,"","soft_tissue","rhabdomyosarcoma","","",0.994821328127299,2,1.85996954822103,NA,NA,NA
"50","ACH-000052","A673","A673_BONE","",684052,"Female","ATCC",2,-2.94566501731343,"Adherent","DMEM + 10% FBS","67.2","CVCL_0080","soft_tissue","Primary","Bone Cancer","Ewings Sarcoma",15,"SIDM00848",660,"","bone","Ewing_sarcoma","","EWS_FLI",0.951293015785684,2,6.29057185085208,3.0259565348172,-0.189628512988313,0.0505957217806446
"51","ACH-000053","KARPAS299","KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907273,"Male","Academic lab",3,-5.35130251500497,"Suspension","RPMI + 20% FBS + 2mM Glutamine","55.5","CVCL_1324","haematopoietic_and_lymphoid_tissue","","Lymphoma","T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)",25,"SIDM01010",906,"","lymphocyte","non_hodgkin_lymphoma","t_cell_ALCL","",1.01521489278628,2,0.0285691521967709,-3.6158658723314,-0.0310146344281192,0.0179480849348441
"52","ACH-000054","HT1080","HT1080_SOFT_TISSUE","",907064,"Male","ATCC",2,-3.87193508000369,"Adherent","EMEM + 10% FBS","85.9","CVCL_0317","soft_tissue","Metastasis","Sarcoma","Fibrosarcoma",35,"SIDM00828",1391,"","soft_tissue","fibrosarcoma","","",0.995857963103708,2,3.58496250072116,NA,-0.0591525109216403,0.0168969812400719
"53","ACH-000055","D283MED","D283MED_CENTRAL_NERVOUS_SYSTEM","D283",906834,"Male","ATCC",3,-3.77276001678153,"Adherent","EMEM + 10% FBS","69.3","CVCL_1155","abdomen","Metastasis","Brain Cancer","Medulloblastoma",6,"SIDM00888",1184,"","central_nervous_system","medulloblastoma","med_group_3","MYC_exp",1.04688853036652,2,4.32624970083746,NA,0.0809866008296057,0.00299878812284201
"54","ACH-000056","DOHH2","DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",906842,"Male","DSMZ",NA,NA,"","","","CVCL_1179","pleural_effusion","Metastasis","Lymphoma","Diffuse Large B-cell Lymphoma (DLBCL)",60,"SIDM00981",1339,"","lymphocyte","non_hodgkin_lymphoma","DLBCL","",0.994560294077581,2,0.189033824390017,NA,NA,NA
"55","ACH-000057","OPM1","OPM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"Female","Academic lab",NA,NA,"","","","CVCL_5210","haematopoietic_and_lymphoid_tissue","","Myeloma","Multiple Myeloma",NA,"SIDM00456",NA,"","plasma_cell","multiple_myeloma","","",1.15046012970525,NA,2.93545974780529,NA,NA,NA
"56","ACH-000058","ML1","ML1_THYROID","",1240178,"Unknown","DSMZ",NA,NA,"","","","CVCL_H525","thyroid","","Thyroid Cancer","Carcinoma, follicular",NA,"SIDM00442",1227,"","thyroid","thyroid_carcinoma","follicular","",0.702943919844218,1,2.0071955014042,NA,NA,NA
"57","ACH-000059","SUPB15","SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1247871,"Male","ATCC",NA,NA,"","","","CVCL_0103","bone_marrow","Primary","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",9,"SIDM01176",786,"","blood","ALL","b_cell","",0.953673542610306,2,2.24488705912353,NA,NA,NA
"58","ACH-000060","PANC1005","PANC1005_PANCREAS","",925348,"Male","ATCC",2,-3.42263342080136,"Adherent","RPMI + 15% FBS + 2mM Glutamine + 1mM Sodium pyruvate + 60ug/ml Insulin + 10mM HEPES + 1.5g/l Sodium bicarbonate + 4.5g/l Glucose","93.2","CVCL_1639","pancreas","Primary","Pancreatic Cancer","Ductal Adenocarcinoma, exocrine",56,"SIDM01135",197,"","pancreas","exocrine","exocrine_adenocarcinoma","",0.600400476783898,1,1.79493566280354,NA,-0.124101718088449,0.0286442345236857
"59","ACH-000061","HH","HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",907056,"Male","ATCC",NA,NA,"","","","CVCL_1280","haematopoietic_and_lymphoid_tissue","","Lymphoma","T-cell, Non-Hodgkins, Cutaneous",61,"SIDM00671",310,"","lymphocyte","non_hodgkin_lymphoma","t_cell_cutaneous","",1.23661802332837,3,0.22650852980868,NA,NA,NA
"60","ACH-000062","RERFLCMS","RERFLCMS_LUNG","",910931,"Male","JCRB",NA,NA,"","","","CVCL_1655","lung","Primary","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"SIDM00355",2051,"","lung","NSCLC","NSCLC_adenocarcinoma","",0.945802870445809,2,3.38681094647222,0.129596811935135,NA,NA
"61","ACH-000063","HS616T","HS616T_FIBROBLAST","",NA,"Male","",NA,NA,"","","","CVCL_0825","fibroblast","","Fibroblast","Lymphoma",16,"",NA,"","fibroblast","fibroblast_lymphocyte","","",1.0070848111278,2,3.93922657772821,NA,NA,NA
"62","ACH-000064","SALE","SALE_LUNG","",NA,"Unknown","Academic lab",NA,NA,"","","","CVCL_WS60","lung","","Engineered","",NA,"",NA,"","engineered_lung","","","",0.996903330569639,NA,1.76128527336162,NA,NA,NA
"63","ACH-000065","OCIAML5","OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1330983,"Male","DSMZ",NA,NA,"","","","CVCL_1620","haematopoietic_and_lymphoid_tissue","Primary","Leukemia","Acute Myelogenous Leukemia (AML)",77,"SIDM00461",2130,"","blood","AML","","",1.29312214208079,3,1.87578006306849,0.731819874874436,NA,NA
"64","ACH-000066","HCC4006","HCC4006_LUNG","",NA,"Male","ATCC",NA,NA,"","","","CVCL_1269","pleural_effusion","Metastasis","Lung Cancer","Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",NA,"",NA,"","lung","NSCLC","NSCLC_adenocarcinoma","",0.670944432719419,2,2.05311133645956,NA,NA,NA
"65","ACH-000067","HS683","HS683_CENTRAL_NERVOUS_SYSTEM","",1240150,"Male","ATCC",2,-3.66495970879869,"Adherent","DMEM + 10% FBS","60.7","CVCL_0844","central_nervous_system","Primary","Brain Cancer","Oligodendroglioma",76,"SIDM00666",769,"","central_nervous_system","glioma","oligodendroglioma","",0.985885724581171,2,3.7771566660045,NA,-0.0196560311659283,0.00929486007951384
"66","ACH-000068","REC1","REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"Male","DSMZ",NA,NA,"","","","CVCL_1884","lymph_node","","Lymphoma","B-cell, Non-Hodgkins, Mantle Cell",61,"",NA,"","lymphocyte","non_hodgkin_lymphoma","b_cell_mantle_cell","",0.643991200484663,1,0.333423733725192,NA,NA,NA
"67","ACH-000069","HS611T","HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",NA,"Female","ATCC",NA,NA,"","","","CVCL_0823","haematopoietic_and_lymphoid_tissue","","Lymphoma","B-cell, Hodgkins",48,"",NA,"","lymphocyte","hodgkin_lymphoma","","",1.29049738363322,NA,0.37851162325373,NA,NA,NA
"68","ACH-000070","697","697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",906800,"Male","DSMZ",2,-3.46314311660023,"Adherent","RPMI + 20% heat inactivated FBS","52","CVCL_0079","bone_marrow","Primary","Leukemia","Acute Lymphoblastic Leukemia (ALL), B-cell",12,"SIDM01076",63,"","blood","ALL","b_cell","",0.955898382170351,2,1.81966818349646,-0.63761119276413,-0.0534974577360327,0.0149381161863182
"69","ACH-000071","HS706T","HS706T_BONE","",NA,"Female","ATCC",NA,NA,"","","","CVCL_0863","fibroblast","","Fibroblast","Bone",16,"",NA,"","fibroblast","fibroblast_bone","","",1.0047578195525,2,4.27649666564036,NA,NA,NA
"70","ACH-000072","MEG01","MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",908126,"Male","ATCC",0,-0.861777574995442,"","","","CVCL_0425","bone_marrow","","Leukemia","Chronic Myelogenous Leukemia (CML)",55,"SIDM00526",1263,"","blood","CML","","",1.26472571410977,4,0.432959407276106,NA,NA,NA
"71","ACH-000073","GRANTA519","GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","",1303897,"Female","DSMZ",NA,NA,"","","","CVCL_1818","haematopoietic_and_lymphoid_tissue","Primary","Lymphoma","B-cell, Non-Hodgkins, Mantle Cell",58,"SIDM01058",1776,"","lymphocyte","non_hodgkin_lymphoma","b_cell_mantle_cell","",1.01203629379745,2,0.516015147003665,NA,NA,NA
